"Household income statistics by household type: Census metropolitan areas, tracted census agglomerations and census tracts 1"
"Frequency: Occasional"
"Table: 98-10-0058-01"
"Release date: 2022-07-13"
"Geography: Census metropolitan area, Census agglomeration, Census tract"
"Universe: Private households in occupied private dwellings, 2021 and 2016 censuses — 100% data"
"Variable List: Household type including census family structure (11), Household size (7), Household income statistics (6)"

"Geography","Household size (7) 2","Household type including census family structure (11)","Household income statistics (6)","Vector","Coordinate","2021"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","250.1.1.6","70,500"
"0017.03 - Calgary i251",,,"Number of households (2021) 4 5 6","..","251.1.1.1","1,785"
,,,"Median household total income (2020) (2020 constant dollars)","..","251.1.1.3","67,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","251.1.1.6","68,500"
"0017.04 - Calgary i252",,,"Number of households (2021) 4 5 6","..","252.1.1.1","1,945"
,,,"Median household total income (2020) (2020 constant dollars)","..","252.1.1.3","103,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","252.1.1.6","95,000"
"0017.05 - Calgary i253",,,"Number of households (2021) 4 5 6","..","253.1.1.1","1,350"
,,,"Median household total income (2020) (2020 constant dollars)","..","253.1.1.3","117,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","253.1.1.6","110,000"
"0017.06 - Calgary i254",,,"Number of households (2021) 4 5 6","..","254.1.1.1","1,815"
,,,"Median household total income (2020) (2020 constant dollars)","..","254.1.1.3","137,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","254.1.1.6","136,000"
"0018.01 - Calgary i255",,,"Number of households (2021) 4 5 6","..","255.1.1.1","1,255"
,,,"Median household total income (2020) (2020 constant dollars)","..","255.1.1.3","90,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","255.1.1.6","83,000"
"0018.02 - Calgary i256",,,"Number of households (2021) 4 5 6","..","256.1.1.1","890"
,,,"Median household total income (2020) (2020 constant dollars)","..","256.1.1.3","80,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","256.1.1.6","77,000"
"0019.00 - Calgary i257",,,"Number of households (2021) 4 5 6","..","257.1.1.1","2,145"
,,,"Median household total income (2020) (2020 constant dollars)","..","257.1.1.3","89,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","257.1.1.6","76,500"
"0020.00 - Calgary i258",,,"Number of households (2021) 4 5 6","..","258.1.1.1","2,360"
,,,"Median household total income (2020) (2020 constant dollars)","..","258.1.1.3","97,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","258.1.1.6","84,000"
"0021.01 - Calgary i259",,,"Number of households (2021) 4 5 6","..","259.1.1.1","1,255"
,,,"Median household total income (2020) (2020 constant dollars)","..","259.1.1.3","105,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","259.1.1.6","91,000"
"0021.02 - Calgary i260",,,"Number of households (2021) 4 5 6","..","260.1.1.1","895"
,,,"Median household total income (2020) (2020 constant dollars)","..","260.1.1.3","111,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","260.1.1.6","99,000"
"0022.01 - Calgary i261",,,"Number of households (2021) 4 5 6","..","261.1.1.1","2,090"
,,,"Median household total income (2020) (2020 constant dollars)","..","261.1.1.3","121,000"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","261.1.1.6","128,000"
"0022.02 - Calgary i262",,,"Number of households (2021) 4 5 6","..","262.1.1.1","1,500"
,,,"Median household total income (2020) (2020 constant dollars)","..","262.1.1.3","74,500"
,,,"Median household after-tax income (2015) (2020 constant dollars)","..","262.1.1.6","73,000"
"0023.00 - Calgary i263",,,"Number of households (2021) 4 5 6","..","263.1.1.1","1,900"
,,,"Median household total income (2020) (2020 constant dollars)","..","263.1.1.3","212,000"
